ANO_ELEICAO,SIGLA_UF,DESCRICAO_CARGO,DESCRICAO_SEXO,Qtd
1998,AC,DEPUTADO ESTADUAL,FEMININO,0.08333333333333333
1998,AC,DEPUTADO FEDERAL,FEMININO,0.125
1998,AL,DEPUTADO ESTADUAL,FEMININO,0.1111111111111111
1998,AL,DEPUTADO FEDERAL,FEMININO,0.1111111111111111
1998,AL,SENADOR,FEMININO,1.0
1998,AM,DEPUTADO FEDERAL,FEMININO,0.125
1998,AP,DEPUTADO ESTADUAL,FEMININO,0.125
1998,AP,DEPUTADO FEDERAL,FEMININO,0.125
1998,BA,DEPUTADO ESTADUAL,FEMININO,0.1111111111111111
1998,CE,DEPUTADO ESTADUAL,FEMININO,0.08695652173913043
1998,DF,DEPUTADO DISTRITAL,FEMININO,0.16666666666666666
1998,DF,DEPUTADO FEDERAL,FEMININO,0.125
1998,ES,DEPUTADO ESTADUAL,FEMININO,0.03333333333333333
1998,ES,DEPUTADO FEDERAL,FEMININO,0.1
1998,GO,DEPUTADO ESTADUAL,FEMININO,0.14634146341463414
1998,GO,DEPUTADO FEDERAL,FEMININO,0.17647058823529413
1998,MA,DEPUTADO ESTADUAL,FEMININO,0.19047619047619047
1998,MA,DEPUTADO FEDERAL,FEMININO,0.05555555555555555
1998,MA,GOVERNADOR,FEMININO,1.0
1998,MG,DEPUTADO ESTADUAL,FEMININO,0.05194805194805195
1998,MG,DEPUTADO FEDERAL,FEMININO,0.05660377358490566
1998,MS,DEPUTADO ESTADUAL,FEMININO,0.041666666666666664
1998,MS,DEPUTADO FEDERAL,FEMININO,0.125
1998,MT,DEPUTADO ESTADUAL,FEMININO,0.041666666666666664
1998,MT,DEPUTADO FEDERAL,FEMININO,0.25
1998,PA,DEPUTADO ESTADUAL,FEMININO,0.17073170731707318
1998,PA,DEPUTADO FEDERAL,FEMININO,0.058823529411764705
1998,PB,DEPUTADO ESTADUAL,FEMININO,0.19444444444444445
1998,PE,DEPUTADO ESTADUAL,FEMININO,0.061224489795918366
1998,PI,DEPUTADO ESTADUAL,FEMININO,0.06666666666666667
1998,PR,DEPUTADO ESTADUAL,FEMININO,0.018518518518518517
1998,RJ,DEPUTADO ESTADUAL,FEMININO,0.17142857142857143
1998,RJ,DEPUTADO FEDERAL,FEMININO,0.08695652173913043
1998,RN,DEPUTADO ESTADUAL,FEMININO,0.16666666666666666
1998,RN,DEPUTADO FEDERAL,FEMININO,0.125
1998,RO,DEPUTADO ESTADUAL,FEMININO,0.08333333333333333
1998,RO,DEPUTADO FEDERAL,FEMININO,0.125
1998,RR,DEPUTADO ESTADUAL,FEMININO,0.16666666666666666
1998,RS,DEPUTADO ESTADUAL,FEMININO,0.07272727272727272
1998,RS,DEPUTADO FEDERAL,FEMININO,0.03225806451612903
1998,SC,DEPUTADO ESTADUAL,FEMININO,0.05
1998,SC,DEPUTADO FEDERAL,FEMININO,0.0625
1998,SE,DEPUTADO ESTADUAL,FEMININO,0.16666666666666666
1998,SE,SENADOR,FEMININO,1.0
1998,SP,DEPUTADO ESTADUAL,FEMININO,0.0851063829787234
1998,SP,DEPUTADO FEDERAL,FEMININO,0.05714285714285714
1998,TO,DEPUTADO ESTADUAL,FEMININO,0.08333333333333333
2002,AC,DEPUTADO ESTADUAL,FEMININO,0.08333333333333333
2002,AC,DEPUTADO FEDERAL,FEMININO,0.125
2002,AC,SENADOR,FEMININO,0.5
2002,AL,DEPUTADO ESTADUAL,FEMININO,0.07407407407407407
2002,AM,DEPUTADO ESTADUAL,FEMININO,0.041666666666666664
2002,AM,DEPUTADO FEDERAL,FEMININO,0.125
2002,AP,DEPUTADO ESTADUAL,FEMININO,0.16666666666666666
2002,AP,DEPUTADO FEDERAL,FEMININO,0.125
2002,BA,DEPUTADO ESTADUAL,FEMININO,0.09523809523809523
2002,BA,DEPUTADO FEDERAL,FEMININO,0.05128205128205128
2002,CE,DEPUTADO ESTADUAL,FEMININO,0.17391304347826086
2002,CE,SENADOR,FEMININO,0.5
2002,DF,DEPUTADO DISTRITAL,FEMININO,0.20833333333333334
2002,DF,DEPUTADO FEDERAL,FEMININO,0.125
2002,ES,DEPUTADO ESTADUAL,FEMININO,0.16666666666666666
2002,ES,DEPUTADO FEDERAL,FEMININO,0.2
2002,GO,DEPUTADO ESTADUAL,FEMININO,0.1951219512195122
2002,GO,DEPUTADO FEDERAL,FEMININO,0.11764705882352941
2002,GO,SENADOR,FEMININO,0.5
2002,MA,DEPUTADO ESTADUAL,FEMININO,0.19047619047619047
2002,MA,DEPUTADO FEDERAL,FEMININO,0.1111111111111111
2002,MA,SENADOR,FEMININO,0.5
2002,MG,DEPUTADO ESTADUAL,FEMININO,0.12987012987012986
2002,MG,DEPUTADO FEDERAL,FEMININO,0.018867924528301886
2002,MS,DEPUTADO ESTADUAL,FEMININO,0.08333333333333333
2002,MT,DEPUTADO ESTADUAL,FEMININO,0.041666666666666664
2002,MT,DEPUTADO FEDERAL,FEMININO,0.25
2002,MT,SENADOR,FEMININO,0.5
2002,PA,DEPUTADO ESTADUAL,FEMININO,0.1951219512195122
2002,PA,DEPUTADO FEDERAL,FEMININO,0.058823529411764705
2002,PA,SENADOR,FEMININO,0.5
2002,PB,DEPUTADO ESTADUAL,FEMININO,0.16666666666666666
2002,PB,DEPUTADO FEDERAL,FEMININO,0.08333333333333333
2002,PE,DEPUTADO ESTADUAL,FEMININO,0.16326530612244897
2002,PI,DEPUTADO ESTADUAL,FEMININO,0.06666666666666667
2002,PI,DEPUTADO FEDERAL,FEMININO,0.1
2002,PR,DEPUTADO ESTADUAL,FEMININO,0.07407407407407407
2002,PR,DEPUTADO FEDERAL,FEMININO,0.03333333333333333
2002,RJ,DEPUTADO ESTADUAL,FEMININO,0.2
2002,RJ,DEPUTADO FEDERAL,FEMININO,0.13043478260869565
2002,RJ,GOVERNADOR,FEMININO,1.0
2002,RN,DEPUTADO ESTADUAL,FEMININO,0.16666666666666666
2002,RN,DEPUTADO FEDERAL,FEMININO,0.25
2002,RN,GOVERNADOR,FEMININO,1.0
2002,RO,DEPUTADO ESTADUAL,FEMININO,0.041666666666666664
2002,RO,DEPUTADO FEDERAL,FEMININO,0.125
2002,RO,SENADOR,FEMININO,0.5
2002,RR,DEPUTADO ESTADUAL,FEMININO,0.125
2002,RR,DEPUTADO FEDERAL,FEMININO,0.25
2002,RS,DEPUTADO ESTADUAL,FEMININO,0.03636363636363636
2002,RS,DEPUTADO FEDERAL,FEMININO,0.12903225806451613
2002,SC,DEPUTADO ESTADUAL,FEMININO,0.05
2002,SC,DEPUTADO FEDERAL,FEMININO,0.0625
2002,SC,SENADOR,FEMININO,0.5
2002,SE,DEPUTADO ESTADUAL,FEMININO,0.25
2002,SP,DEPUTADO ESTADUAL,FEMININO,0.10638297872340426
2002,SP,DEPUTADO FEDERAL,FEMININO,0.08571428571428572
2002,TO,DEPUTADO ESTADUAL,FEMININO,0.08333333333333333
2002,TO,DEPUTADO FEDERAL,FEMININO,0.125
2006,AC,DEPUTADO ESTADUAL,FEMININO,0.20833333333333334
2006,AC,DEPUTADO FEDERAL,FEMININO,0.125
2006,AL,DEPUTADO ESTADUAL,FEMININO,0.1111111111111111
2006,AM,DEPUTADO ESTADUAL,FEMININO,0.125
2006,AM,DEPUTADO FEDERAL,FEMININO,0.25
2006,AP,DEPUTADO ESTADUAL,FEMININO,0.125
2006,AP,DEPUTADO FEDERAL,FEMININO,0.5
2006,BA,DEPUTADO ESTADUAL,FEMININO,0.12698412698412698
2006,BA,DEPUTADO FEDERAL,FEMININO,0.10256410256410256
2006,CE,DEPUTADO ESTADUAL,FEMININO,0.043478260869565216
2006,CE,DEPUTADO FEDERAL,FEMININO,0.045454545454545456
2006,DF,DEPUTADO DISTRITAL,FEMININO,0.125
2006,ES,DEPUTADO ESTADUAL,FEMININO,0.1
2006,ES,DEPUTADO FEDERAL,FEMININO,0.4
2006,GO,DEPUTADO ESTADUAL,FEMININO,0.17073170731707318
2006,GO,DEPUTADO FEDERAL,FEMININO,0.11764705882352941
2006,MA,DEPUTADO ESTADUAL,FEMININO,0.16666666666666666
2006,MA,DEPUTADO FEDERAL,FEMININO,0.05555555555555555
2006,MG,DEPUTADO ESTADUAL,FEMININO,0.09090909090909091
2006,MG,DEPUTADO FEDERAL,FEMININO,0.05660377358490566
2006,MS,DEPUTADO ESTADUAL,FEMININO,0.041666666666666664
2006,MS,SENADOR,FEMININO,1.0
2006,MT,DEPUTADO ESTADUAL,FEMININO,0.041666666666666664
2006,MT,DEPUTADO FEDERAL,FEMININO,0.125
2006,PA,DEPUTADO ESTADUAL,FEMININO,0.17073170731707318
2006,PA,DEPUTADO FEDERAL,FEMININO,0.11764705882352941
2006,PA,GOVERNADOR,FEMININO,1.0
2006,PB,DEPUTADO ESTADUAL,FEMININO,0.1111111111111111
2006,PE,DEPUTADO ESTADUAL,FEMININO,0.12244897959183673
2006,PE,DEPUTADO FEDERAL,FEMININO,0.04
2006,PI,DEPUTADO ESTADUAL,FEMININO,0.1
2006,PR,DEPUTADO ESTADUAL,FEMININO,0.07407407407407407
2006,RJ,DEPUTADO ESTADUAL,FEMININO,0.15714285714285714
2006,RJ,DEPUTADO FEDERAL,FEMININO,0.13043478260869565
2006,RN,DEPUTADO ESTADUAL,FEMININO,0.16666666666666666
2006,RN,DEPUTADO FEDERAL,FEMININO,0.25
2006,RN,GOVERNADOR,FEMININO,1.0
2006,RN,SENADOR,FEMININO,1.0
2006,RO,DEPUTADO ESTADUAL,FEMININO,0.041666666666666664
2006,RO,DEPUTADO FEDERAL,FEMININO,0.125
2006,RR,DEPUTADO ESTADUAL,FEMININO,0.125
2006,RR,DEPUTADO FEDERAL,FEMININO,0.25
2006,RS,DEPUTADO ESTADUAL,FEMININO,0.09090909090909091
2006,RS,DEPUTADO FEDERAL,FEMININO,0.0967741935483871
2006,RS,GOVERNADOR,FEMININO,1.0
2006,SC,DEPUTADO ESTADUAL,FEMININO,0.075
2006,SC,DEPUTADO FEDERAL,FEMININO,0.0625
2006,SE,DEPUTADO ESTADUAL,FEMININO,0.25
2006,SE,SENADOR,FEMININO,1.0
2006,SP,DEPUTADO ESTADUAL,FEMININO,0.11702127659574468
2006,SP,DEPUTADO FEDERAL,FEMININO,0.04285714285714286
2006,TO,DEPUTADO ESTADUAL,FEMININO,0.125
2006,TO,DEPUTADO FEDERAL,FEMININO,0.125
2006,TO,SENADOR,FEMININO,1.0
2010,AC,DEPUTADO ESTADUAL,FEMININO,0.16666666666666666
2010,AC,DEPUTADO FEDERAL,FEMININO,0.25
2010,AL,DEPUTADO ESTADUAL,FEMININO,0.07407407407407407
2010,AL,DEPUTADO FEDERAL,FEMININO,0.2222222222222222
2010,AM,DEPUTADO ESTADUAL,FEMININO,0.08333333333333333
2010,AM,DEPUTADO FEDERAL,FEMININO,0.125
2010,AM,SENADOR,FEMININO,0.5
2010,AP,DEPUTADO ESTADUAL,FEMININO,0.2916666666666667
2010,AP,DEPUTADO FEDERAL,FEMININO,0.375
2010,BA,DEPUTADO ESTADUAL,FEMININO,0.1746031746031746
2010,BA,DEPUTADO FEDERAL,FEMININO,0.02564102564102564
2010,BA,SENADOR,FEMININO,0.5
2010,BR,PRESIDENTE,FEMININO,1.0
2010,CE,DEPUTADO ESTADUAL,FEMININO,0.13043478260869565
2010,CE,DEPUTADO FEDERAL,FEMININO,0.045454545454545456
2010,DF,DEPUTADO DISTRITAL,FEMININO,0.16666666666666666
2010,DF,DEPUTADO FEDERAL,FEMININO,0.25
2010,ES,DEPUTADO ESTADUAL,FEMININO,0.13333333333333333
2010,ES,DEPUTADO FEDERAL,FEMININO,0.4
2010,GO,DEPUTADO ESTADUAL,FEMININO,0.04878048780487805
2010,GO,DEPUTADO FEDERAL,FEMININO,0.11764705882352941
2010,GO,SENADOR,FEMININO,0.5
2010,MA,DEPUTADO ESTADUAL,FEMININO,0.16666666666666666
2010,MA,DEPUTADO FEDERAL,FEMININO,0.05555555555555555
2010,MA,GOVERNADOR,FEMININO,1.0
2010,MG,DEPUTADO ESTADUAL,FEMININO,0.05194805194805195
2010,MG,DEPUTADO FEDERAL,FEMININO,0.018867924528301886
2010,MS,DEPUTADO ESTADUAL,FEMININO,0.08333333333333333
2010,MT,DEPUTADO ESTADUAL,FEMININO,0.08333333333333333
2010,PA,DEPUTADO ESTADUAL,FEMININO,0.17073170731707318
2010,PA,DEPUTADO FEDERAL,FEMININO,0.058823529411764705
2010,PB,DEPUTADO ESTADUAL,FEMININO,0.16666666666666666
2010,PB,DEPUTADO FEDERAL,FEMININO,0.08333333333333333
2010,PE,DEPUTADO ESTADUAL,FEMININO,0.08163265306122448
2010,PE,DEPUTADO FEDERAL,FEMININO,0.08
2010,PI,DEPUTADO ESTADUAL,FEMININO,0.23333333333333334
2010,PI,DEPUTADO FEDERAL,FEMININO,0.1
2010,PR,DEPUTADO ESTADUAL,FEMININO,0.07407407407407407
2010,PR,DEPUTADO FEDERAL,FEMININO,0.06666666666666667
2010,PR,SENADOR,FEMININO,0.5
2010,RJ,DEPUTADO ESTADUAL,FEMININO,0.18571428571428572
2010,RJ,DEPUTADO FEDERAL,FEMININO,0.08695652173913043
2010,RN,DEPUTADO ESTADUAL,FEMININO,0.125
2010,RN,DEPUTADO FEDERAL,FEMININO,0.25
2010,RN,GOVERNADOR,FEMININO,1.0
2010,RO,DEPUTADO ESTADUAL,FEMININO,0.125
2010,RO,DEPUTADO FEDERAL,FEMININO,0.125
2010,RR,DEPUTADO ESTADUAL,FEMININO,0.08333333333333333
2010,RR,DEPUTADO FEDERAL,FEMININO,0.125
2010,RR,SENADOR,FEMININO,0.5
2010,RS,DEPUTADO ESTADUAL,FEMININO,0.14545454545454545
2010,RS,DEPUTADO FEDERAL,FEMININO,0.06451612903225806
2010,RS,SENADOR,FEMININO,0.5
2010,SC,DEPUTADO ESTADUAL,FEMININO,0.1
2010,SC,DEPUTADO FEDERAL,FEMININO,0.0625
2010,SE,DEPUTADO ESTADUAL,FEMININO,0.25
2010,SP,DEPUTADO ESTADUAL,FEMININO,0.10638297872340426
2010,SP,DEPUTADO FEDERAL,FEMININO,0.08571428571428572
2010,SP,SENADOR,FEMININO,0.5
2010,TO,DEPUTADO ESTADUAL,FEMININO,0.16666666666666666
2010,TO,DEPUTADO FEDERAL,FEMININO,0.125
2014,AC,DEPUTADO ESTADUAL,FEMININO,0.16666666666666666
2014,AC,DEPUTADO FEDERAL,FEMININO,0.125
2014,AL,DEPUTADO ESTADUAL,FEMININO,0.07407407407407407
2014,AM,DEPUTADO ESTADUAL,FEMININO,0.041666666666666664
2014,AM,DEPUTADO FEDERAL,FEMININO,0.125
2014,AP,DEPUTADO ESTADUAL,FEMININO,0.3333333333333333
2014,AP,DEPUTADO FEDERAL,FEMININO,0.375
2014,BA,DEPUTADO ESTADUAL,FEMININO,0.1111111111111111
2014,BA,DEPUTADO FEDERAL,FEMININO,0.07692307692307693
2014,BR,PRESIDENTE,FEMININO,1.0
2014,CE,DEPUTADO ESTADUAL,FEMININO,0.15217391304347827
2014,CE,DEPUTADO FEDERAL,FEMININO,0.09090909090909091
2014,DF,DEPUTADO DISTRITAL,FEMININO,0.20833333333333334
2014,DF,DEPUTADO FEDERAL,FEMININO,0.125
2014,ES,DEPUTADO ESTADUAL,FEMININO,0.13333333333333333
2014,ES,SENADOR,FEMININO,1.0
2014,GO,DEPUTADO ESTADUAL,FEMININO,0.0975609756097561
2014,GO,DEPUTADO FEDERAL,FEMININO,0.11764705882352941
2014,MA,DEPUTADO ESTADUAL,FEMININO,0.14285714285714285
2014,MA,DEPUTADO FEDERAL,FEMININO,0.05555555555555555
2014,MG,DEPUTADO ESTADUAL,FEMININO,0.06493506493506493
2014,MG,DEPUTADO FEDERAL,FEMININO,0.09433962264150944
2014,MS,DEPUTADO ESTADUAL,FEMININO,0.125
2014,MS,DEPUTADO FEDERAL,FEMININO,0.125
2014,MS,SENADOR,FEMININO,1.0
2014,MT,DEPUTADO ESTADUAL,FEMININO,0.041666666666666664
2014,PA,DEPUTADO ESTADUAL,FEMININO,0.07317073170731707
2014,PA,DEPUTADO FEDERAL,FEMININO,0.17647058823529413
2014,PB,DEPUTADO ESTADUAL,FEMININO,0.08333333333333333
2014,PE,DEPUTADO ESTADUAL,FEMININO,0.10204081632653061
2014,PE,DEPUTADO FEDERAL,FEMININO,0.04
2014,PI,DEPUTADO ESTADUAL,FEMININO,0.13333333333333333
2014,PI,DEPUTADO FEDERAL,FEMININO,0.2
2014,PR,DEPUTADO ESTADUAL,FEMININO,0.05555555555555555
2014,PR,DEPUTADO FEDERAL,FEMININO,0.06666666666666667
2014,RJ,DEPUTADO ESTADUAL,FEMININO,0.11428571428571428
2014,RJ,DEPUTADO FEDERAL,FEMININO,0.13043478260869565
2014,RN,DEPUTADO ESTADUAL,FEMININO,0.08333333333333333
2014,RN,DEPUTADO FEDERAL,FEMININO,0.125
2014,RN,SENADOR,FEMININO,1.0
2014,RO,DEPUTADO ESTADUAL,FEMININO,0.125
2014,RO,DEPUTADO FEDERAL,FEMININO,0.25
2014,RR,DEPUTADO ESTADUAL,FEMININO,0.125
2014,RR,DEPUTADO FEDERAL,FEMININO,0.25
2014,RR,GOVERNADOR,FEMININO,1.0
2014,RS,DEPUTADO ESTADUAL,FEMININO,0.12727272727272726
2014,RS,DEPUTADO FEDERAL,FEMININO,0.03225806451612903
2014,SC,DEPUTADO ESTADUAL,FEMININO,0.1
2014,SC,DEPUTADO FEDERAL,FEMININO,0.125
2014,SE,DEPUTADO ESTADUAL,FEMININO,0.16666666666666666
2014,SE,SENADOR,FEMININO,1.0
2014,SP,DEPUTADO ESTADUAL,FEMININO,0.10638297872340426
2014,SP,DEPUTADO FEDERAL,FEMININO,0.08571428571428572
2014,TO,DEPUTADO ESTADUAL,FEMININO,0.125
2014,TO,DEPUTADO FEDERAL,FEMININO,0.375
2014,TO,SENADOR,FEMININO,1.0
2018,AC,DEPUTADO ESTADUAL,FEMININO,0.16666666666666666
2018,AC,DEPUTADO FEDERAL,FEMININO,0.5
2018,AL,DEPUTADO ESTADUAL,FEMININO,0.18518518518518517
2018,AL,DEPUTADO FEDERAL,FEMININO,0.1111111111111111
2018,AM,DEPUTADO ESTADUAL,FEMININO,0.16666666666666666
2018,AP,DEPUTADO ESTADUAL,FEMININO,0.3333333333333333
2018,AP,DEPUTADO FEDERAL,FEMININO,0.375
2018,BA,DEPUTADO ESTADUAL,FEMININO,0.15873015873015872
2018,BA,DEPUTADO FEDERAL,FEMININO,0.07692307692307693
2018,CE,DEPUTADO ESTADUAL,FEMININO,0.13043478260869565
2018,CE,DEPUTADO FEDERAL,FEMININO,0.045454545454545456
2018,DF,DEPUTADO DISTRITAL,FEMININO,0.125
2018,DF,DEPUTADO FEDERAL,FEMININO,0.625
2018,DF,SENADOR,FEMININO,0.5
2018,ES,DEPUTADO ESTADUAL,FEMININO,0.1
2018,ES,DEPUTADO FEDERAL,FEMININO,0.3
2018,GO,DEPUTADO ESTADUAL,FEMININO,0.04878048780487805
2018,GO,DEPUTADO FEDERAL,FEMININO,0.11764705882352941
2018,MA,DEPUTADO ESTADUAL,FEMININO,0.19047619047619047
2018,MA,SENADOR,FEMININO,0.5
2018,MG,DEPUTADO ESTADUAL,FEMININO,0.12987012987012986
2018,MG,DEPUTADO FEDERAL,FEMININO,0.07547169811320754
2018,MS,DEPUTADO FEDERAL,FEMININO,0.25
2018,MS,SENADOR,FEMININO,0.5
2018,MT,DEPUTADO ESTADUAL,FEMININO,0.041666666666666664
2018,MT,DEPUTADO FEDERAL,FEMININO,0.125
2018,MT,SENADOR,FEMININO,0.5
2018,PA,DEPUTADO ESTADUAL,FEMININO,0.24390243902439024
2018,PA,DEPUTADO FEDERAL,FEMININO,0.058823529411764705
2018,PB,DEPUTADO ESTADUAL,FEMININO,0.1388888888888889
2018,PB,DEPUTADO FEDERAL,FEMININO,0.08333333333333333
2018,PB,SENADOR,FEMININO,0.5
2018,PE,DEPUTADO ESTADUAL,FEMININO,0.20408163265306123
2018,PE,DEPUTADO FEDERAL,FEMININO,0.04
2018,PI,DEPUTADO ESTADUAL,FEMININO,0.13333333333333333
2018,PI,DEPUTADO FEDERAL,FEMININO,0.4
2018,PR,DEPUTADO ESTADUAL,FEMININO,0.07407407407407407
2018,PR,DEPUTADO FEDERAL,FEMININO,0.16666666666666666
2018,RJ,DEPUTADO ESTADUAL,FEMININO,0.17142857142857143
2018,RJ,DEPUTADO FEDERAL,FEMININO,0.21739130434782608
2018,RN,DEPUTADO ESTADUAL,FEMININO,0.125
2018,RN,DEPUTADO FEDERAL,FEMININO,0.125
2018,RN,GOVERNADOR,FEMININO,1.0
2018,RN,SENADOR,FEMININO,0.5
2018,RO,DEPUTADO ESTADUAL,FEMININO,0.08333333333333333
2018,RO,DEPUTADO FEDERAL,FEMININO,0.375
2018,RR,DEPUTADO ESTADUAL,FEMININO,0.25
2018,RR,DEPUTADO FEDERAL,FEMININO,0.25
2018,RS,DEPUTADO ESTADUAL,FEMININO,0.16363636363636364
2018,RS,DEPUTADO FEDERAL,FEMININO,0.0967741935483871
2018,SC,DEPUTADO ESTADUAL,FEMININO,0.125
2018,SC,DEPUTADO FEDERAL,FEMININO,0.25
2018,SE,DEPUTADO ESTADUAL,FEMININO,0.25
2018,SP,DEPUTADO ESTADUAL,FEMININO,0.19148936170212766
2018,SP,DEPUTADO FEDERAL,FEMININO,0.15714285714285714
2018,SP,SENADOR,FEMININO,0.5
2018,TO,DEPUTADO ESTADUAL,FEMININO,0.20833333333333334
2018,TO,DEPUTADO FEDERAL,FEMININO,0.25
